directory drwxr-xr-x 755 0 root 0 root 4096 1779517114 /usr/share/wazuh-indexer/certs
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 719225 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-common-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 580162 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-handler-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 37842 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-resolver-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 521428 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-transport-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 44157 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/netty-transport-native-unix-common-4.1.118.Final.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 815679 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/nimbus-jose-jwt-9.48.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 185784 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-core-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 65682 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-messaging-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 35111 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-profile-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 468732 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-saml-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1124259 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-saml-impl-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 113883 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-security-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 116092 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-security-impl-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 172843 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-soap-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 394321 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-soap-impl-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 28190 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-storage-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 249921 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-xmlsec-api-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 387063 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensaml-xmlsec-impl-4.3.2.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 93850 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensearch-rest-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 314248 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensearch-rest-high-level-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 1607958 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/opensearch-security-2.19.1.0.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 87627 1746010643 /usr/share/wazuh-indexer/plugins/opensearch-security/parent-join-client-2.19.1.jar
regular file -rw-r----- 640 1000 wazuh-indexer 1000 wazuh-indexer 136559 1746010642 /usr/share/wazuh-indexer/plugins/opensearch-security/passay-1.6.6.jar
